臺中管理處地下水水權狀總表,,,,,,,,,,,,,,,,,,,,
編號,站別,名稱,水權狀號,核准,年限,灌溉面積(ha),引水地點,使用方法,引用水量(cms),每日用水時間(hr),年可引用水量(m³),水井深度(m),引水月份,水系,,,,cmd,,
49 ,月眉,后里圳五支線之一延長線上游抽水井,B1100662,1150825,1200824,3.219733,臺中市外埔區水美南段1069地號,機械動力抽汲地下水，設水井管徑406.4公厘鋼管水井1座及出水管徑152.4公厘、45匹馬力沉水式電動抽水機1台,0.025,11,"361,350.00",138,每月,大安溪,,,,990,,
50 ,月眉,后里圳五支線之一延長線下游抽水井,B1090031,1140304,1190303,1.783023,臺中市外埔區水美東段686地號,,0.0336,3,"132,451.20",150,每月,大安溪,,,,362.88,,
51 ,日南,日南站一號抽水井-日南圳,B0115482,1141001,1190930,11.371539,臺中市大甲區日新段69-52地號,,0.064,15,"1,261,440.00",15,每月,大安溪,,,,3456,,
52 ,日南,日南站二號抽水井-日南圳,B0110761,1130916,1180915,9.935129,臺中市大甲區新興段186地號,,0.08,10.5,"635,040.00",15,2-5月、7-9月,大安溪,,,,3024,,
53 ,日南,日南站三號抽水井(深水井)-日南圳,B0990027,1130101,1171231,12.861636,臺中市大甲區日新段551-1地號,,0.035,20,"919,800.00",150,每月,大安溪,,,,2520,,
54 ,日南,日南站三號抽水井(淺水井)-日南圳,B0120538,1120101,1161231,9.780269,臺中市大甲區日新段551-1地號,,0.083,10,"1,090,620.00",9,每月,大安溪,,,,2988,,
55 ,日南,日南站四號抽水井-日南圳,B0115526,1130101,1171231,16.245999,臺中市大甲區日新段6-302地號,,0.085,15,"963,900.00",11.2,2-5月、7-9月,大安溪,,,,4590,,
56 ,日南,日南站五號抽水井-日南圳,B1020065,1120801,1170731,7.718237,臺中市大甲區日新段6-627地號,,0.0378,15,"745,038.00",90,每月,大安溪,,,,2041.2,,
57 ,日南,日南站六號抽水井(深水井)-日南圳,B1000076,1101201,1151130,7.879466,臺中市大甲區日新段551-2地號,,0.034,20,"893,520.00",150,每月,大安溪,,,,2448,,
58 ,日南,日南站六號抽水井(淺水井)-日南圳,B0117179,1100802,1150801,7.300767,臺中市大甲區日新段551-2地號,,0.08,8,"840,960.00",12.8,每月,大安溪,,,,2304,,
